ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
593	0	183602.5	6789447.5	772.3458032	25.632658	126.624886	-1.5443588	1.018990755	-0.85181683	-0.5238398	1.4102564	105.1445	12.456465	1	2	1	5	4.23410650459726
594	0	105987.5	6807157.5	718.3644946	38.597847	151.10823	-2.8318996	-1.383745313	-0.83012605	-0.55757576	1.1	113.9364	9.259461	2	4	0	1	5.48893772615669
595	0	217562.5	6849377.5	686.3513843	39.037292	156.98984	-5.9679813	0.635192513	0.23704965	-0.97149754	1.3888888	111.929504	10.461017	2	1	1	5	5.40717177146012
596	0	134762.5	6738612.5	749.6196411	28.895248	147.91443	0.42539126	0.633779943	-0.6518942	-0.7583099	1.1794872	123.4666	11.86774	3	4	1	4	5.19295685089021
597	0	198527.5	6766562.5	667.5353638	28.397385	153.8437	-0.92715096	1.969352961	-0.9338253	-0.35772935	1.3095238	140.8302	19.89092	2	4	1	1	5.39362754635236
598	0	158477.5	6743022.5	588.0140674	30.693357	156.98018	-1.0657874	-0.034986664	-0.04289416	-0.99907964	1.4285715	124.7772	8.848645	1	4	1	5	4.96284463025991
599	0	131067.5	6732537.5	849.6357617	26.101118	151.7008	-0.005490694	1.144265175	0.037298046	-0.9993042	1.1707317	121.6809	10.954148	3	4	1	1	4.77068462446567
600	0	226367.5	6701772.5	530.0693896	30.667276	149.31282	3.3138986	-2.142439365	0.99859893	-0.052917115	1.5609756	160.3353	15.658806	2	4	0	1	4.82028156560504
601	0	98372.5	6810012.5	651.4183667	34.506073	133.6826	-0.9598739	2.018944502	-0.655187	-0.7554667	0.96363634	83.914795	6.860361	1	4	0	5	5.38449506278909
602	0	254237.5	6720447.5	578.0687402	23.508097	145.78288	0.7224899	-0.417539388	0.7027388	-0.71144795	1.6756756	142.9736	11.184584	1	4	1	5	3.78418963391826
603	0	147792.5	6797692.5	630.9594507	28.134638	167.67557	0.40899256	0.472576529	0.1268812	0.9919179	1.4418604	154.6712	11.909237	3	2	0	1	4.38202663467388
604	0	210367.5	6862327.5	769.8348071	26.93472	167.38092	-0.13897921	0.039331336	-0.6475358	-0.7620351	1.617647	109.1579	14.658673	2	2	0	3	5.27299955856375
605	0	225052.5	6742292.5	701.6808057	27.09806	148.10393	0.42753035	-0.94675678	-0.9661566	0.2579562	1.3043479	171.106	9.455008	2	4	1	1	2.484906649788
606	0	107132.5	6791772.5	707.6180469	42.099	163.73366	-7.2862444	7.742554665	0.99805254	0.062378965	1.0869565	97.4679	6.903122	2	3	1	1	8.82849412946665
607	0	117992.5	6790967.5	579.7032349	28.651495	159.15205	0.17819098	-2.432717323	0.22884321	0.9734633	1.0833334	116.4004	6.652338	3	4	0	4	8.62083222617572
608	0	219067.5	6718582.5	879.7955762	31.217995	153.82716	-0.16416098	0.310204238	0.9121948	0.4097569	1.4181818	185.0485	14.875567	2	4	1	1	3.17805383034795
609	0	99007.5	6789292.5	899.0668652	37.66857	155.46024	-3.4402578	2.250103474	-0.82143617	0.57030046	1	84.3741	8.708324	3	3	0	4	6.22455842927536
610	0	198522.5	6767617.5	827.1136401	40.678543	151.7513	-0.042572647	-0.121967182	-0.89911056	-0.43772158	1.2954545	143.7881	20.629244	2	4	1	1	4.29045944114839
611	0	152542.5	6798187.5	722.7064893	34.275642	163.59071	-0.8526806	1.595307708	0.78373075	-0.6211007	1.5	139.7387	11.772351	2	2	0	1	4.00733318523247
612	0	200022.5	6868712.5	697.3112427	31.763044	186.33897	-1.2666552	0.951655328	-0.8772905	-0.47995982	1.6538461	103.8308	9.27367	1	2	0	5	2.63905732961526
613	0	208552.5	6753727.5	768.1144751	36.724503	162.3601	-1.032285	2.258271694	-0.9903377	-0.13867648	1.4102564	145.1201	11.117005	2	4	0	1	2.39789527279837
614	0	203072.5	6751257.5	663.509751	30.12585	165.38547	-1.3287414	0.459989011	0.9262534	0.37690142	1.3888888	152.5165	9.597355	3	4	1	1	2.56494935746154
